DeviceName;Brand;Technology;GPRS;EDGE;Announced;Status;Weight;SIM;ScreenType;ScreenSize;ScreenResolution;CardSlot;Speaker
Samsung Galaxy S9+;Samsung;GSM / HSPA / LTE;Yes;Yes;Not announced yet;Rumored;-;Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);Super AMOLED capacitive touchscreen, 16M colors;6.2 inches, 97.6 cm2 (~83.8% screen-to-body ratio);1440 x 2960 pixels, 18.5:9 ratio (~531 ppi density);microSD, up to 256 GB (uses SIM 2 slot) - dual SIM model only;Yes, with stereo speakers
Samsung Galaxy S9;Samsung;GSM / CDMA / HSPA / EVDO / LTE;Yes;Yes;2018, February;Available. Released 2018, March;163 g (5.75 oz);Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);Super AMOLED capacitive touchscreen, 16M colors;5.8 inches, 84.8 cm2 (~83.6% screen-to-body ratio);1440 x 2960 pixels, 18.5:9 ratio (~570 ppi density);microSD, up to 400 GB (uses SIM 2 slot) - dual SIM model only;Yes, with stereo speakers
Samsung Galaxy S9 Active;Samsung;GSM / CDMA / HSPA / EVDO / LTE;Yes;Yes;Not announced yet;Rumored;-;Nano-SIM;Super AMOLED capacitive touchscreen, 16M colors;5.8 inches, 85.4 cm2;1440 x 2960 pixels, 18.5:9 ratio (~568 ppi density);microSD, up to 400 GB (dedicated slot);Yes, with stereo speakers
